id_personne;person_id;trip_id;departure_time;arrival_time;travel_time;following_purpose;is_commute;mode;preceeding_activity_index;following_activity_index
24922901000.0;7781;3.0;8.016666666666667;8.320380852041001;0.3037141853743339;work;True;car;3.0;4.0
24922901000.0;7781;4.0;17.0;17.303714185374336;0.3037141853743357;other;False;car;4.0;5.0
24922901000.0;7781;5.0;17.666666666666668;17.73057396658272;0.06390729991605326;other;False;car;5.0;6.0
24922901000.0;7781;6.0;17.916666666666668;17.96889058455876;0.052223917892092686;home;False;car;6.0;7.0
23153901000.0;7782;1.0;7.916666666666668;7.93817230819998;0.021505641533312136;other;False;car;1.0;2.0
23153901000.0;7782;2.0;8.016666666666667;8.038172308199979;0.02150564153331125;home;False;car;2.0;3.0
23153901000.0;7782;3.0;8.5;9.233696661025522;0.7336966610255224;work;True;car;3.0;4.0
23153901000.0;7782;4.0;18.0;18.733696661025522;0.7336966610255224;home;False;car;4.0;5.0
40335003000.0;7783;1.0;8.0;8.024862373177152;0.02486237317715201;education;True;car_passenger;1.0;2.0
40335003000.0;7783;2.0;17.166666666666668;17.230771393481465;0.06410472681479717;other;False;car_passenger;2.0;3.0
40335003000.0;7783;3.0;17.416666666666668;17.50551372626911;0.08884705960244332;home;False;car_passenger;3.0;4.0
40289401000.0;8005;1.0;12.5;12.701023751830474;0.2010237518304745;shop;False;car_passenger;1.0;2.0
40289401000.0;8005;2.0;13.916666666666664;13.92515666077738;0.008489994110716381;shop;False;car_passenger;2.0;3.0
40289401000.0;8005;3.0;14.833333333333336;14.926191280758422;0.09285794742508635;shop;False;car_passenger;3.0;4.0
40289401000.0;8005;4.0;15.833333333333336;15.850132809515646;0.016799476182310258;shop;False;car_passenger;4.0;5.0
40289401000.0;8005;5.0;16.833333333333332;16.883103653806483;0.049770320473150775;shop;False;car_passenger;5.0;6.0
40289401000.0;8005;6.0;17.5;17.725404624619816;0.22540462461981647;home;False;car_passenger;6.0;7.0
5947902000.0;8254;1.0;9.0;9.054743309216743;0.054743309216743086;shop;False;car;1.0;2.0
5947902000.0;8254;2.0;9.5;9.554743309216743;0.054743309216743086;home;False;car;2.0;3.0
31690801000.0;8255;1.0;15.916666666666664;16.016666666666666;0.10000000000000142;other;False;car;1.0;2.0
